0,"week"
1,"the last twenty four hours"
2,"five year"
3,"four year"
4,"Now"
5,"October"
6,"now"
7,"the past three months"
8,"ten years"
9,"a couple of years"
10,"today"
11,"minute and a half"
12,"today"
13,"December"
14,"twenty years"
15,"now"
16,"now"
17,"today"
18,"today"
19,"Tuesday"
20,"today"
21,"today"
22,"now"
23,"Friday"
24,"August 1988"
25,"eight - year"
26,"Aug. 2"
27,"up to 180"
28,"Tuesday"
29,"today"
30,"today"
31,"today"
32,"Tuesday"
33,"now"
34,"Aug. 6"
35,"Tuesday"
36,"today"
37,"Tuesday"
38,"Monday"
39,"Thursday"
40,"today"
41,"Tuesday"
42,"Tuesday"
43,"now"
44,"today"
45,"eighth day"
46,"now"
47,"weeks"
48,"Thursday"
49,"two - hour"
50,"Thursday"
51,"now"
52,"Aug. 2"
53,"Thursday"
54,"now"
55,"A day earlier"
56,"this week"
57,"Wednesday"
58,"Thursday"
59,"September"
60,"Thursday"
61,"210 years"
62,"Friday"
63,"next year"
64,"Friday"
65,"2000"
66,"several years ago"
67,"this year"
68,"1901"
69,"almost a hundred years"
70,"1996"
71,"August"
72,"a month"
73,"current"
74,"Friday"
75,"Monday"
76,"Tuesday nights"
77,"March 30"
78,"each Thursday"
79,"August 6"
80,"Friday"
81,"Friday"
82,"10 p.m."
83,"Wednesday"
84,"noon"
85,"Thursday"
86,"Thursday"
87,"almost two years ago"
88,"the next two weeks"
89,"March 1996"
90,"January this year"
91,"weeks or months"
92,"March 26 , 1996"
93,"22 months"
94,"Thursday"
95,"last year"
96,"now"
97,"a week"
98,"the late 1970s"
99,"mid - 1996"
100,"June last year"
101,"July last year"
102,"Friday"
103,"February 1947"
104,"Friday"
105,"1988"
106,"1995"
107,"1971"
108,"Friday"
109,"more than four hours"
110,"Friday"
111,"November 1995"
112,"Friday"
113,"nearly four years ago"
114,"April 6 , 1994"
115,"2 1 \/ 2 years"
116,"a year"
117,"Friday"
118,"centuries"
119,"last May"
120,"at least 20 more years"
121,"Last year"
122,"the past"
123,"four - day"
124,"last year"
125,"1996"
126,"Friday"
127,"Sunday"
128,"recent days"
129,"Sunday"
130,"8 - month - old"
131,"Monday"
132,"Feb. 20"
133,"Sunday"
134,"May"
135,"two weeks ago"
136,"10 days ago"
137,"last week"
138,"February"
139,"Sunday"
140,"1972"
141,"Sunday"
142,"the past three summers"
143,"this summer"
144,"this summer"
145,"Earlier Sunday"
146,"Saturday"
147,"May 26 , 1980"
148,"six days"
149,"October 1984"
150,"May 22 , 1995"
151,"the following year"
152,"December"
153,"the future"
154,"Friday"
155,"1995"
156,"this September"
157,"the fourth quarter"
158,"now"
159,"today"
160,"the future"
161,"less than one hour"
162,"Thursday"
163,"today"
164,"the day"
165,"Friday"
166,"now"
167,"next week"
168,"three hour"
169,"today"
170,"later this afternoon"
171,"no more than sixty days"
172,"the middle of October"
173,"today"
174,"the winter of nineteen ninety - four"
175,"the last two weeks"
176,"this week"
177,"today"
178,"now"
179,"Today"
180,"Today"
181,"now"
182,"the next several days"
183,"Yesterday"
184,"today"
185,"today"
186,"January"
187,"Friday"
188,"last month"
189,"last month"
190,"last month"
191,"a year earlier"
192,"the last decade"
193,"coming months"
194,"Aug. 6"
195,"January"
196,"last fall"
197,"Friday"
198,"December"
199,"the last four months"
200,"the last three months"
201,"the first nine months"
202,"1997"
203,"the last few months"
204,"Friday"
205,"January"
206,"last month"
207,"December"
208,"January"
209,"Friday"
210,"Thursday"
211,"Friday"
212,"Thursday"
213,"Thursday"
214,"the past few weeks"
215,"Friday"
216,"Friday"
217,"today"
218,"this morning"
219,"Thursday evening"
220,"around 7 : 15 p.m."
221,"a few years ago"
222,"April 25"
223,"this week"
224,"two years ago"
225,"current"
226,"nineteen ninety - one"
227,"nineteen ninety - six"
228,"Now"
229,"today"
230,"nineteen seventy - nine"
231,"centuries"
232,"more than two thousand years"
233,"a few minutes"
234,"now"
235,"today"
236,"now"
237,"this September"
238,"the year two thousand"
239,"now"
240,"today"
241,"last week"
242,"the second day"
243,"mid afternoon"
244,"the future"
245,"Monday"
246,"last week"
247,"Monday"
248,"Sunday"
249,"two day"
250,"this year"
251,"early Tuesday"
252,"two day"
253,"two days"
254,"the past year"
255,"last year"
256,"the nineties"
257,"this year"
258,"a year"
259,"the year two thousand"
260,"last year"
261,"now"
262,"the past"
263,"this coming Sunday , March eighth"
264,"twenty years"
265,"the past twenty years"
266,"today"
267,"several years"
268,"a year or two"
269,"the years"
270,"the early years"
271,"each year"
272,"five months ago"
273,"five months"
274,"late yesterday"
275,"yesterday"
276,"the weekend"
277,"Feb. 11"
278,"a week or so ago"
279,"Saturday night"
280,"a week"
281,"noon"
282,"August"
283,"a week"
284,"the four days"
285,"nearly an hour"
286,"Saturday night"
287,"the"
288,"next few"
289,"year - end"
290,"now"
291,"1988"
292,"each of the past three years"
293,"recently"
294,"52 - week"
295,"yesterday"
296,"last year"
297,"Jan. 2"
298,"Dec. 15"
299,"third - quarter"
300,"the year - ago quarter"
