p003000000200001131951006 20000113
p003000000200001141129335 20000114
p003000000200001152216339 20000115
p003000000200002061339298 20000206
p003000000200002130949116 20000213
p003000000200002162301556 20000216
p004100003200006112012067 20000216
p004100003200006281111368 20000611
p004100003200008222147055 20000628
p004100005200011081339600 20000822
p003000000200002161816012 20000916
p004100005200009161425357 20001108
p007000000200009070829134.txt	20000101
p007000000200005160901135.txt	20000116
p007000000200001010003001.txt	20000123
p007000000200001230912029.txt	20000315
p007000000200003150837143.txt	20000516
p007000000200007060842117.txt	20000706
p007000000200102270901196.txt	20000907
p007000000200103080845233.txt	20010227
p007000000200103260632031.txt	20010308
p007000000200001161014045.txt 20010326
